text,category,sentiment,flexibility
Reduce carbon,env,0.6001232506113712,0.4616524414216098
Reduce carbon,env,0.7311511803426808,0.7212550632094018
Reduce carbon,env,0.7783144153224905,0.7216929182157499
Minimize bill,cost,0.6477907709381043,0.6907640996928406
washer can be delayed,flex,0.7893091178310248,0.9117222169862205
washer can be delayed,flex,0.6847107689488839,0.794249784744371
Use renewable energy,env,0.7049928874627835,0.6251767682866786
Reduce carbon,env,0.8918058878864943,0.5847846387711164
dryer can be delayed,flex,0.7205027751834681,0.8797908928793695
Minimize bill,cost,0.7273778535270329,0.8683560571344413
Use renewable energy,env,0.6576314419579177,0.4963601142860536
Use renewable energy,env,0.6503647210115611,0.732932594117063
Minimize bill,cost,0.7851595186784114,0.679467165295125
Shift EV to off-peak,cost,0.6593523450471328,0.7388711915179538
Flexible with HVAC,flex,0.8406220165426849,0.8055286457537219
Flexible with dryer,flex,0.8178271110215198,0.9565404353731962
Minimize bill,cost,0.6514036240558256,0.6538553782839656
Keep HVAC on,comfort,0.45730244009936516,0.3653799838982127
Shift EV to off-peak,cost,0.47287523467490167,0.7509987878128874
Minimize bill,cost,0.6089534116884677,0.617468688954132
Shift washer to off-peak,cost,0.5641439914965993,0.8354065295263078
Flexible with dryer,flex,0.7583105273918219,0.9510163977732533
Shift dryer to off-peak,cost,0.6341171816525326,0.6075774500906517
Use renewable energy,env,0.8012444115581597,0.5419390505095257
washer can be delayed,flex,0.6724320431544002,0.8915080846185687
washer can be delayed,flex,0.8072073178328998,0.9494482788940463
Shift washer to off-peak,cost,0.49440107517484655,0.7088348541217319
Use renewable energy,env,0.5525210579246712,0.6882379367567483
Minimize bill,cost,0.5047656618650053,0.7756614095156633
Minimize bill,cost,0.5497913345131887,0.9034896222287108
Flexible with washer,flex,0.7286877790050383,0.8030631528956018
Flexible with EV,flex,0.5204432996952129,0.7189176453429189
Shift dryer to off-peak,cost,0.5349673225177146,0.7140839076016812
Keep dryer on,comfort,0.3224475700925601,0.1854888802960709
Keep washer on,comfort,0.2855429943942692,0.3074566970841074
Flexible with HVAC,flex,0.8049792941139319,0.9561882235416929
washer can be delayed,flex,0.792415129046584,0.9397698678232853
Flexible with EV,flex,0.9066577863548249,0.8868119658283269
Flexible with dryer,flex,0.7645707072987384,0.7611982652722881
Shift HVAC to off-peak,cost,0.5852912088791626,0.5352248699909483
Keep EV on,comfort,0.2466850918668822,0.29060024746309054
Keep HVAC on,comfort,0.3538304155020078,0.1695956704897015
EV can be delayed,flex,0.7808364690083194,0.9895528330864283
Reduce carbon,env,0.768279268542915,0.6433257323367965
Shift washer to off-peak,cost,0.4740855535498112,0.6388978630519675
Reduce carbon,env,0.5913462813977031,0.4821179416609711
Flexible with EV,flex,0.7312169391565145,0.7975786829397871
EV can be delayed,flex,0.7498319578690211,0.9534543762630744
Use renewable energy,env,0.8683662535151693,0.5874194982011897
Don't adjust HVAC,comfort,0.2583731991974781,0.24190903153346718
Minimize bill,cost,0.4795549647599916,0.7023041781112037
Minimize bill,cost,0.704614148309084,0.4796612750756157
Don't adjust dryer,comfort,0.1589156302856348,0.17165001714957473
Reduce carbon,env,0.8027383441467068,0.48554463849696766
Don't adjust washer,comfort,0.3000559816447381,0.19324027585130635
Don't adjust washer,comfort,0.24181641208947002,0.24619231166459937
Flexible with HVAC,flex,0.8044626369821218,0.7588278434097757
Don't adjust EV,comfort,0.3423255940217096,0.3007525239412885
Use renewable energy,env,0.6938166248154484,0.5625445951651731
Reduce carbon,env,0.702386748217707,0.6556101296432133
Keep EV on,comfort,0.09404971317513436,0.10932925388574191
Flexible with EV,flex,0.9413395557640527,0.949378509510886
Flexible with dryer,flex,0.6784121396336763,1.0
Shift HVAC to off-peak,cost,0.5539027846451756,0.620017463656215
Reduce carbon,env,0.7496799935587032,0.5753911227649426
Flexible with washer,flex,0.9135639079996932,0.8314070504004323
Minimize bill,cost,0.6330283335310135,0.7101181195893937
dryer can be delayed,flex,0.8732100661868719,0.8786223266972238
Flexible with EV,flex,0.8282998480099595,0.8336491944715737
Flexible with HVAC,flex,0.710300434349599,0.9612408247899308
washer can be delayed,flex,0.8738662070601741,1.0
Reduce carbon,env,0.6364812240176101,0.46644764956565066
Use renewable energy,env,0.7181902827520955,0.7128442436182792
Don't adjust dryer,comfort,0.30125538592768486,0.09709192523598953
dryer can be delayed,flex,0.9471585932987187,0.8188049419459662
Flexible with EV,flex,0.8376359938598087,0.8698774793371855
Keep HVAC on,comfort,0.266646402260334,0.0907459507925277
washer can be delayed,flex,0.6229169011532898,0.9196246802956353
Reduce carbon,env,0.6599681274150926,0.7668689592451126
Flexible with washer,flex,0.7096581063881469,0.8101868459023007
Flexible with washer,flex,0.7341505461048023,0.8031007772230526
Use renewable energy,env,0.7244028520756867,0.5562627413600529
Shift EV to off-peak,cost,0.7467796823242494,0.622692189498241
Minimize bill,cost,0.7482720361997369,0.5719544182105114
Flexible with washer,flex,0.768013214698983,0.9207915209820452
Don't adjust washer,comfort,0.2901975755394802,0.15611180788101747
Shift HVAC to off-peak,cost,0.47305851372935936,0.7715531950392647
Use renewable energy,env,0.5010395486229093,0.6007569603748563
Use renewable energy,env,0.7329921743865865,0.7440146743624589
Use renewable energy,env,0.5612105415500086,0.6978833037823482
Don't adjust washer,comfort,0.3807157891975631,0.09769401870343652
Flexible with dryer,flex,0.7881483262621591,0.8763522086714014
Use renewable energy,env,0.6985715507534752,0.41446907502232333
Reduce carbon,env,0.7660499970851397,0.5824869910421725
Keep dryer on,comfort,0.2622212351212905,0.22625525524939294
Don't adjust HVAC,comfort,0.22772398492813017,0.24799493890520613
Shift EV to off-peak,cost,0.546694403607106,0.7290143386217761
Minimize bill,cost,0.6067199435306955,0.7242347355846146
Shift dryer to off-peak,cost,0.47250294028643336,0.7549025340299448
Flexible with dryer,flex,0.8981671984042542,0.862002917546306
Use renewable energy,env,0.6964469790951708,0.42897082099983025
Minimize bill,cost,0.6498241842900487,0.618536422946936
Don't adjust HVAC,comfort,0.3569649617591981,0.0
Minimize bill,cost,0.5072620114428671,0.6955943407514361
Keep dryer on,comfort,0.39752536458011445,0.1708230285044482
Flexible with EV,flex,0.8343861647903259,0.8699330146640475
Shift washer to off-peak,cost,0.5190166438968618,0.8663052263129143
HVAC can be delayed,flex,0.7115676931653212,1.0
Use renewable energy,env,0.6201708393117827,0.7495291533761769
Don't adjust HVAC,comfort,0.39736392961233624,0.010487869688736745
Use renewable energy,env,0.753678548777991,0.37215647295958665
Don't adjust washer,comfort,0.29603335048905366,0.23135239692673346
Reduce carbon,env,0.796535270168759,0.6043111864133308
Flexible with dryer,flex,0.6916988925186132,1.0
Reduce carbon,env,0.852064568674245,0.541122350156033
Don't adjust dryer,comfort,0.5144264258178087,0.3074306329530177
Reduce carbon,env,0.5589190668693373,0.5598982345201555
Don't adjust EV,comfort,0.22348161140925737,0.29483148399632986
Use renewable energy,env,0.8224797160802597,0.5469942616183386
Flexible with washer,flex,0.6846494094288433,1.0
Shift dryer to off-peak,cost,0.6591471627091063,0.5602625143951702
Keep washer on,comfort,0.33327670732383863,0.26598064359260304
Flexible with washer,flex,0.9428053393236371,1.0
Don't adjust washer,comfort,0.4513293170861138,0.27454182495106216
Flexible with washer,flex,0.6639318036869841,1.0
dryer can be delayed,flex,0.9664639302531177,0.9437214612639223
Keep washer on,comfort,0.2079814248416128,0.0
Use renewable energy,env,0.8853674144091366,0.7485022970058128
Keep dryer on,comfort,0.24709610059376683,0.07341478741588381
Don't adjust washer,comfort,0.40907356282084145,0.17319291126737724
Flexible with EV,flex,0.8049985606073342,0.7339070299057977
Shift HVAC to off-peak,cost,0.44115548450574515,0.6098492875246109
Reduce carbon,env,0.7778931971439932,0.6900944322518312
Don't adjust HVAC,comfort,0.3042248881397113,0.15558396343575182
Shift EV to off-peak,cost,0.691747857440413,0.7507212204908442
HVAC can be delayed,flex,0.7091860038652679,0.9840343775073037
Keep EV on,comfort,0.34777898987955597,0.2092693031483956
Shift washer to off-peak,cost,0.661513411177295,0.9052236814947303
Reduce carbon,env,0.7976552238723055,0.6110670835984642
dryer can be delayed,flex,0.7981618020059651,0.9064968182310693
Shift HVAC to off-peak,cost,0.5508952170945165,0.7436523374747179
Minimize bill,cost,0.6782270067042202,0.6305008670859842
Flexible with washer,flex,0.6851551101506101,0.8374108074100681
Keep washer on,comfort,0.31302644382925776,0.35012979504427355
dryer can be delayed,flex,0.7564390869133294,0.8941755293365301
Flexible with washer,flex,0.8137103934932525,0.9178883084017535
Flexible with washer,flex,0.6794468164906717,0.8219122474032228
Minimize bill,cost,0.5934823131238279,0.6463004093176662
Shift EV to off-peak,cost,0.6729536928562073,0.43661827517351937
Reduce carbon,env,0.4973446457592162,0.6018143514085109
dryer can be delayed,flex,0.655148978412455,0.8462326478367603
Don't adjust washer,comfort,0.39616530247267545,0.17527226414614333
Keep EV on,comfort,0.20064499561633325,0.3057702901338137
HVAC can be delayed,flex,0.8787812310353176,0.6844154017614008
EV can be delayed,flex,0.653202417703272,0.8192614361762236
Flexible with washer,flex,1.0,0.9652623176441276
washer can be delayed,flex,0.8377900683849724,0.7905330541945268
Flexible with dryer,flex,0.8910539265915374,0.8299797541480497
Don't adjust HVAC,comfort,0.17567398131147882,0.3229423951121822
Use renewable energy,env,0.6956077772674928,0.5875554779977383
EV can be delayed,flex,0.8240397264593308,0.7881027332895342
washer can be delayed,flex,0.7497091821627336,0.8225937943172987
Don't adjust washer,comfort,0.31398001490025973,0.13527835971709512
Keep washer on,comfort,0.30224807070784526,0.3074666346028413
Reduce carbon,env,0.6694127077347223,0.6178038260239884
Shift HVAC to off-peak,cost,0.5483377926086754,0.7490987836239464
Minimize bill,cost,0.7135120095847992,0.6273462608092881
dryer can be delayed,flex,0.8458088986123941,0.9427868886941139
Minimize bill,cost,0.5335114316725843,0.55490951929973
Reduce carbon,env,0.8612422230336516,0.5294011292828765
Keep washer on,comfort,0.294666912983314,0.11754476261271425
Minimize bill,cost,0.5169650510581579,0.7352386127570834
Reduce carbon,env,0.5355143562364123,0.34691300933575586
Reduce carbon,env,0.8180795181590264,0.4736773576149528
Shift dryer to off-peak,cost,0.47850200070694204,0.8136487806787928
Don't adjust dryer,comfort,0.1687463261360525,0.17088214148416378
Reduce carbon,env,0.805292636375899,0.5281504394276322
Keep washer on,comfort,0.2961866883743986,0.20716100400572265
Don't adjust dryer,comfort,0.3715456261634515,0.25071126989321096
Use renewable energy,env,0.7017238554030355,0.6708789019204814
Minimize bill,cost,0.5072510453405806,0.6855824404602606
Minimize bill,cost,0.580617164162185,0.6224201389645824
Reduce carbon,env,0.7425852980475044,0.7899154082276386
Use renewable energy,env,0.60487922106443,0.6341934597922209
Reduce carbon,env,0.7789148607330424,0.6890832363883976
Minimize bill,cost,0.6826216328000497,0.7739343885208468
Reduce carbon,env,0.7654961036405626,0.3989972033285082
Reduce carbon,env,0.7246280353925239,0.6309225230237258
Use renewable energy,env,0.8810620060362019,0.6675001950038991
Don't adjust HVAC,comfort,0.3022907471424123,0.085098039213487
Flexible with EV,flex,0.7186308805509529,0.72352302742754
washer can be delayed,flex,0.9422325483537465,0.8661067393028598
Keep washer on,comfort,0.2943598594880455,0.2077206630731545
Reduce carbon,env,0.7266536694702447,0.6434961685661909
Don't adjust dryer,comfort,0.505943253234488,0.2658345719223357
Keep HVAC on,comfort,0.22874203714213662,0.24761153109685397
Keep washer on,comfort,0.15894251162979156,0.12076362311363659
HVAC can be delayed,flex,0.7084300250914919,0.8877607045572431
Don't adjust washer,comfort,0.37958536066160486,0.3521976756995158
EV can be delayed,flex,0.9023764666298112,0.7881245612576375
Minimize bill,cost,0.581279432106187,0.6963951594443205
Flexible with dryer,flex,0.7498637868206716,0.8629879859486782
Shift EV to off-peak,cost,0.7059851440504925,0.7471620796185178
Flexible with washer,flex,0.6631519855822496,0.8492854874551985
Keep HVAC on,comfort,0.3713752389698653,0.2573954930998496
Flexible with HVAC,flex,0.9592176130999788,0.9619332386622296
Use renewable energy,env,0.6435088009508135,0.7280119574984483
Use renewable energy,env,0.5887724338040745,0.5261367220108292
Use renewable energy,env,0.6930350030278722,0.5599718053230732
HVAC can be delayed,flex,0.7253367217952583,1.0
Don't adjust washer,comfort,0.13949026404135217,0.2832845328872791
Minimize bill,cost,0.6336572148639926,0.8698389353374447
Don't adjust HVAC,comfort,0.3328829435305201,0.1059895467466295
Shift HVAC to off-peak,cost,0.6632740398962992,0.6851923817668314
Keep HVAC on,comfort,0.3138953254482995,0.16997181376904869
Shift HVAC to off-peak,cost,0.7220379927865184,0.8315293769929499
Don't adjust HVAC,comfort,0.3335260846525782,0.21398581732363137
Keep HVAC on,comfort,0.4837339466629054,0.22335378588007454
Use renewable energy,env,0.6646376432596707,0.642196443718419
Use renewable energy,env,0.7721678653093568,0.5018802384557141
EV can be delayed,flex,0.9573529821301894,0.6483028557100303
Flexible with washer,flex,0.7797668167719098,0.8589182597071787
Keep HVAC on,comfort,0.25044315036176823,0.29259137216896147
Keep dryer on,comfort,0.3143292488650166,0.1543341014510662
Don't adjust dryer,comfort,0.39840634655422424,0.07845191278438596
Flexible with EV,flex,0.8819201334015492,0.8153829178091564
Flexible with EV,flex,0.8734637256382332,0.7879990093539474
Keep HVAC on,comfort,0.19407754152580897,0.26205346880064506
Don't adjust washer,comfort,0.3728849044624792,0.2539286354957964
Reduce carbon,env,0.7315364253804517,0.6368842060029926
Flexible with EV,flex,0.7508255046551082,0.9490880677848286
Don't adjust dryer,comfort,0.4063878679527995,0.29617593410791376
dryer can be delayed,flex,0.7067900059348098,0.9524702019046147
Reduce carbon,env,0.6100456411740732,0.5607967421098133
washer can be delayed,flex,0.7494535264145683,0.8207723547836955
Flexible with washer,flex,0.8595766256753471,0.9734776489503684
Use renewable energy,env,0.6528932708729335,0.6288380140591067
Don't adjust EV,comfort,0.19690474373079347,0.32839407656162883
Keep EV on,comfort,0.2455332806088823,0.30526527148994437
Use renewable energy,env,0.7383367893066529,0.5540156855801937
Use renewable energy,env,0.6808543497049455,0.5783075685329043
Reduce carbon,env,0.6732568834444077,0.5343536318026724
Reduce carbon,env,0.6944538801664792,0.5213238287863158
Don't adjust HVAC,comfort,0.1215504564508276,0.24156843962865165
EV can be delayed,flex,0.9323427710090417,0.9629751478325693
Reduce carbon,env,0.4963692541266831,0.5511119925911592
Use renewable energy,env,0.8772817825407275,0.6876667517677931
Keep EV on,comfort,0.2833929863766299,0.26050752787848275
Shift washer to off-peak,cost,0.5709039876092858,0.7179306121782849
Reduce carbon,env,0.5523050165237243,0.5704269937175631
Minimize bill,cost,0.6958540124338785,0.722931399422662
Don't adjust EV,comfort,0.27512216497656056,0.16749867071361782
Don't adjust dryer,comfort,0.2997473267474522,0.17890970499071843
Flexible with washer,flex,0.8903486441736734,0.9789676812455438
Shift washer to off-peak,cost,0.784988036971096,0.6485291148091819
Use renewable energy,env,0.6808701552621279,0.5704251966794871
Minimize bill,cost,0.7605547267532808,0.7757773989438244
Keep dryer on,comfort,0.228249628051455,0.2229801844088257
Flexible with dryer,flex,0.5541074794134205,0.8841807391252668
Flexible with HVAC,flex,0.7897602646579415,1.0
Keep dryer on,comfort,0.32513259299537,0.319773386269489
Keep dryer on,comfort,0.265074077608997,0.10561681592537797
Use renewable energy,env,0.6264374345129393,0.6836417735161878
EV can be delayed,flex,0.7283138528299028,0.9049799897751114
Shift HVAC to off-peak,cost,0.7180597286653183,0.7110789690214905
Shift washer to off-peak,cost,0.4051037406513731,0.7569939003804822
Use renewable energy,env,0.82716293636103,0.4610797401019635
Flexible with HVAC,flex,0.6848743239827546,0.8847865037479533
Shift HVAC to off-peak,cost,0.7093416253692207,0.6343040176694659
Use renewable energy,env,0.5710102833686206,0.4375386773776566
Keep EV on,comfort,0.28541284807899076,0.25872286395592037
washer can be delayed,flex,0.7946770752378706,0.7742221644811315
Flexible with dryer,flex,0.7110829868582977,0.8184590325747847
Use renewable energy,env,0.6232772556812194,0.5996125877024124
Keep HVAC on,comfort,0.29316340469701335,0.13958684866426108
Flexible with EV,flex,0.7664856897278669,0.8654913858873607
HVAC can be delayed,flex,0.6954057111779812,0.7796939565536791
Flexible with EV,flex,0.7464532523823523,0.9599718132162324
Flexible with washer,flex,0.6778070694448961,0.7533557914309272
Shift HVAC to off-peak,cost,0.6286182134384474,0.6049980082308166
Don't adjust HVAC,comfort,0.20842979968954684,0.25078843463831324
Reduce carbon,env,0.6796170122812057,0.5956311506425327
Minimize bill,cost,0.4828140383688375,0.6416058467244595
Use renewable energy,env,0.8431351222939949,0.5834279934195502
Minimize bill,cost,0.5088385343934445,0.7355965282623055
Flexible with dryer,flex,0.7892794359949966,1.0
Reduce carbon,env,0.9274895875039589,0.46506051340505644
dryer can be delayed,flex,0.8777918339409265,0.9920383995313617
Flexible with washer,flex,0.8507497504906537,0.8334047896589737
Keep EV on,comfort,0.31226241113127173,0.08799911999792825
Reduce carbon,env,0.4858910757889966,0.6454498524138744
Don't adjust washer,comfort,0.18464110579903598,0.19300440620541207
Use renewable energy,env,0.6425401065100776,0.4622119883642463
Flexible with EV,flex,0.7222144713490618,0.7823153260225918
washer can be delayed,flex,0.778563378727342,0.8186426897993112
EV can be delayed,flex,0.8061350584644059,0.938796616555622
washer can be delayed,flex,0.5802693181036747,1.0
Don't adjust EV,comfort,0.3026276596123842,0.1504648807272696
Shift dryer to off-peak,cost,0.665457720162181,0.7757153968121764
Shift washer to off-peak,cost,0.7800797977537364,0.5554937643967452
Reduce carbon,env,0.6538404659231709,0.552201563786971
Use renewable energy,env,0.6799554169005768,0.6000640408913054
Keep EV on,comfort,0.1841106197329606,0.15973625725967125
Flexible with washer,flex,0.7362882138320054,0.9818098664264531
Shift EV to off-peak,cost,0.5793397714459735,0.9039952019792542
Shift washer to off-peak,cost,0.687391417635006,0.7633702152168561
EV can be delayed,flex,0.8575604711305266,0.8474873294908745
Reduce carbon,env,0.4489269773517174,0.6208455832173496
Minimize bill,cost,0.7016126901240616,0.7277642261582905
Use renewable energy,env,0.6101652232657371,0.5199861362032598
Use renewable energy,env,0.7907918948201741,0.6727186116606503
Reduce carbon,env,0.6235396627749206,0.6692192669621031
Minimize bill,cost,0.5528538960556213,0.667692912939528
Keep EV on,comfort,0.3274803760746458,0.27492860636549027
Keep HVAC on,comfort,0.3942244764828037,0.16444832547597527
HVAC can be delayed,flex,0.6893892759363164,0.7188044668778781
Minimize bill,cost,0.5283416735543174,0.647016219151935
Keep washer on,comfort,0.37405649176563965,0.16857724232615046
Shift washer to off-peak,cost,0.6045659279407163,0.7369565802129898
HVAC can be delayed,flex,0.8232255138917285,0.9236595855070816
Reduce carbon,env,0.7300601048332612,0.6491227012873458
Reduce carbon,env,0.5342804257036706,0.41053738211750934
Reduce carbon,env,0.807102553477899,0.6099807513548128
Minimize bill,cost,0.4740100641505034,0.8743528573448229
Use renewable energy,env,0.692274512011025,0.7193008883779539
Use renewable energy,env,0.7573881792820206,0.4938908422667446
Use renewable energy,env,0.7262795788009091,0.6166874591519095
Reduce carbon,env,0.8958518761050098,0.6491705470977568
HVAC can be delayed,flex,0.7786651830039291,0.8822773626377965
Flexible with EV,flex,0.735894228094705,0.9989404855981604
dryer can be delayed,flex,0.7685871503288617,1.0
Use renewable energy,env,0.7489385563178896,0.3989005691087
Keep HVAC on,comfort,0.283067962030559,0.07230739028755492
Keep EV on,comfort,0.3271893195716362,0.2108452818789034
Use renewable energy,env,0.5033017249596119,0.6287614307134453
Keep dryer on,comfort,0.2832527263958468,0.24417222804836938
Shift dryer to off-peak,cost,0.5856378654779595,0.8355209783037895
Don't adjust EV,comfort,0.1692280274091122,0.12732090926015327
Use renewable energy,env,0.6454587775535389,0.6935807190100943
washer can be delayed,flex,0.7454457691430709,0.9005666305871728
Shift EV to off-peak,cost,0.5671726712557581,0.670087348075495
Don't adjust dryer,comfort,0.3441141472612721,0.2660079442918532
EV can be delayed,flex,0.7031298651538067,0.8639209826973215
HVAC can be delayed,flex,0.6782220880804443,0.8147151482563768
Shift dryer to off-peak,cost,0.4514269944732377,0.5664194384705137
Keep HVAC on,comfort,0.21449146215301085,0.1922121542447131
EV can be delayed,flex,1.0,1.0
Use renewable energy,env,0.7529983458510722,0.5967235011008932
Flexible with EV,flex,0.9867130197939753,0.7889877551618688
Flexible with washer,flex,0.6584169446179962,1.0
Keep EV on,comfort,0.19496577542995136,0.27613417194688583
Use renewable energy,env,0.6785737880356039,0.6211224556922273
